adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/gCD0eMZW1pUitLzH93WYWJYQgGk.jpg,[18],2517,ja,誰も知らない,"In a small Tokyo apartment, twelve-year-old Akira must care for his younger siblings after their mother leaves them and shows no sign of returning.",5.1803,/kDUUdWrbBBVqzSmm27pHFJcTvCU.jpg,2004-08-07,Nobody Knows,False,7.984,595
False,/1XF9ugYliCBWkXI2dCWAjRb1jvY.jpg,[35],678580,es,El mesero,A waiter pretends to be an important businessman in order to reach the upper class through his entrepreneurial dreams.,2.1146,/zvGC5jX5wQmU1GgPc0VGZz7Mtcs.jpg,2021-07-15,El mesero,False,8.0,355
False,/ojG57hVx69vhk5DDGPIcfyRR55I.jpg,"[18, 10752]",11778,en,The Deer Hunter,"A group of working-class friends decide to enlist in the Army during the Vietnam War and finds it to be hellish chaos -- not the noble venture they imagined. Before they left, Steven married his pregnant girlfriend -- and Michael and Nick were in love with the same woman. But all three are different men upon their return.",6.9815,/bbGtogDZOg09bm42KIpCXUXICkh.jpg,1978-12-08,The Deer Hunter,False,7.981,4049
False,/fONtQBk12LGjQo4q6bXDROVQmTy.jpg,"[53, 12]",213,en,North by Northwest,"Advertising man Roger Thornhill is mistaken for a spy, triggering a deadly cross-country chase.",5.524,/kNOFPQrel9YFCVzI0DF8FnCEpCw.jpg,1959-08-06,North by Northwest,False,7.98,4316
False,/Ag6qhzsJd3k1NKuNrG9RmhZDMh7.jpg,"[18, 80]",640,en,Catch Me If You Can,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",15.0071,/ctjEj2xM32OvBXCq8zAdK3ZrsAj.jpg,2002-12-16,Catch Me If You Can,False,7.979,16445
False,/96el06riGUnHRJGXxhP9StZzhFt.jpg,"[35, 18]",429210,pt,Bingo: O Rei das Manhãs,"1980s. Brazilian television exploding in color and auditorium programs not so politically correct. In the middle of this fervor, Augusto Mendes, a young rising actor, seeks his place in the sun. From porn studios to soap operas, he finally finds success and fame when he becomes ""Bingo"", a TV host clown from one of the audience leader TV shows for children. It turns out that behind the rice powder and red nose, nobody knows who he is.",1.7729,/1ddIxZW72MjnPA2cls8gCGMPp5d.jpg,2017-08-24,Bingo: The King of the Mornings,False,7.978,400
False,/fNHCogWhABNAmzk0IFdzQP5XLYj.jpg,"[9648, 53, 18]",25376,es,El secreto de sus ojos,"Hoping to put to rest years of unease concerning a past case, retired criminal investigator Benjamín begins writing a novel based on the unsolved mystery of a newlywed’s rape and murder. With the help of a former colleague, judge Irene, he attempts to make sense of the past.",5.3703,/dkeAwfZzwL3WvToydE3CXiY80E0.jpg,2009-08-13,The Secret in Their Eyes,False,7.975,2707
False,/3DOOgeZfoYUKXAyYrpRObv2PNDd.jpg,[18],12761,sv,Höstsonaten,"After a seven-year absence, Charlotte Andergast travels to Sweden to reunite with her daughter Eva. The pair have a troubled relationship: Charlotte sacrificed the responsibilities of motherhood for a career as a classical pianist. Over an emotional night, the pair reopen the wounds of the past. Charlotte gets another shock when she finds out that her mentally impaired daughter, Helena, is out of the asylum and living with Eva.",4.7872,/6beNbtCXv3GkzHkxkGYf38ib7v8.jpg,1978-10-08,Autumn Sonata,False,7.977,658
False,/jqha8JCXm0aJ5SJ03Jd0JmGgWRs.jpg,"[18, 36]",895,ru,Андрей Рублёв,"An expansive Russian drama, this film focuses on the life of revered religious icon painter Andrei Rublev. Drifting from place to place in a tumultuous era, the peace-seeking monk eventually gains a reputation for his art. But after Rublev witnesses a brutal battle and unintentionally becomes involved, he takes a vow of silence and spends time away from his work. As he begins to ease his troubled soul, he takes steps towards becoming a painter once again.",6.89,/910xRIUmNJrWH2hkQifBJtoPp5R.jpg,1966-12-16,Andrei Rublev,False,7.966,892
False,/cSbBSHHiy849SUhyTW6FX4Dbj43.jpg,"[18, 10749]",19542,en,The Red Shoes,"In this classic drama, Vicky Page is an aspiring ballerina torn between her dedication to dance and her desire to love. While her imperious instructor, Boris Lermontov, urges to her to forget anything but ballet, Vicky begins to fall for the charming young composer Julian Craster. Eventually Vicky, under great emotional stress, must choose to pursue either her art or her romance, a decision that carries serious consequences.",2.0822,/b7x6Wq9Mss2hOgf0fnVX7gBagJw.jpg,1948-09-06,The Red Shoes,False,7.975,710
